downloaded at,2026/03/01,初期値(web用),web用,,,,,,,,,,
yesfast,``integer``,"- ``-1`` if no input
- ignore input

  + ``-1`` if ireadminr > 0 and yesfast > 0
",Fast I/O (This will be moved to /developer/ namelist).,Fast I/O (This will be moved to /developer/ namelist).,None,None,None,simulation,"turborvb.x, readforward.x, prep.x",,read_datasmin_14,"read_datas.f90:68, 995 -- 999",
maxtime,``real*8``,- ``86000`` if no input,The program will stop after maxtime (sec.),The program will stop after maxtime (sec.),"- description(tutorials(02optimization, turborvb.x)): Maximun CPU time (INTEGER).",None,None,simulation,"turborvb.x, readforward.x, prep.x",,read_datasmin_15,"read_datas.f90:83, 119 -- 125",
nproc_diag,``integer``,``0``,The number of intra MPI communicators. 0 means no intra communicator (this will be removed in the future).,The number of intra MPI communicators. 0 means no intra communicator (this will be removed in the future).,None,"datasminmol.input:

.. code-block:: text

    !nproc_diag=0   ! if > 0 and compilation option __CASO is used, the diagonalization routines will use
                      only nproc_diag processors (all processors  are  too many sometimes).
",None,simulation,"turborvb.x, readforward.x, prep.x",,read_datasmin_16,read_datas.f90:84 -- 85,
disk_io,"``character(len=80)``
",``'default'``,"‘default’: default I/O, temporary files for each MPI process, ‘nocont’: minimal I/O no continuation, ‘mpiio’: temporary files are not generated for each MPI rank. They are gathered to single file.","‘default’: default I/O, temporary files for each MPI process, ‘nocont’: minimal I/O no continuation, ‘mpiio’: temporary files are not generated for each MPI rank. They are gathered to single file.",None,"datasdmc.input:

.. code-block:: text

    !disk_io='default' ! 'default' spits out one file per rank,
                         'nocont' spits nothing,
                         'mpiio' splits one file for all ranks.

datasminmol.input:

.. code-block:: text

    !disk_io='default' ! 'default' spits out one file per rank,
                         'nocont' spits nothing,
                         'mpiio' splits one file for all ranks.

datastest.input:

.. code-block:: text

    !disk_io='default' ! 'default' spits out one file per rank,
                         'nocont' spits nothing,
                         'mpiio' splits one file for all ranks.

datasfn.input:

.. code-block:: text

    !disk_io='default' ! 'default' spits out one file per rank,
                         'nocont' spits nothing,
                         'mpiio' splits one file for all ranks.
",None,simulation,"turborvb.x, readforward.x, prep.x",,read_datasmin_17,"read_datas.f90:89, 135 -- 147",
ip_reshuff,``integer``,``-1``,Unidentified (This will be moved to /developer/ namelist).,Unidentified (This will be moved to /developer/ namelist).,None,None,None,simulation,"turborvb.x, readforward.x, prep.x",,read_datasmin_18,read_datas.f90:69,
compute_bands,``logical``,``.false.``,WIP,None,None,"prep.input:

.. code-block:: text

    compute_bands=.false. ! put this flag to .true. if you want to perform non self-consistent calculations for band structure. It must be
                          ! performed after a self-consistent run with the same molecular orbital real-space mesh.
",None,simulation,"turborvb.x, readforward.x, prep.x",,read_datasmin_19,read_datas.f90:77,
double_mesh,``logical``,``.false.``,WIP,None,None,None,"prep.README:

.. code-block:: text

    !double_mesh=.false.  ! if true a better simulation for large atomic number is done (see below)


.. code-block:: text

    ``double_mesh`` --> When in input ``double_mesh`` is true (NB in simulation section),
    a more accurate DFT is done with an adaptive mesh,
    that considers a sparse and a finer mesh (e.g. around nuclei).
",simulation,"turborvb.x, readforward.x, prep.x",,read_datasmin_20,read_datas.f90:90,
min_block,``integer``,automatic (1000 or 100),"The minimum block size for computational efficiency at expense of memory, used for SCALAPACK. A smaller value will require less memory. (This will be removed in the future).","The minimum block size for computational efficiency at expense of memory, used for SCALAPACK. A smaller value will require less memory. (This will be removed in the future).",None,None,None,simulation,"turborvb.x, readforward.x, prep.x",,read_datasmin_21,"read_datas.f90:78 -- 79, 502 -- 506",
max_target,``integer``,automatic (200000 or 0),Unidentified (This will be moved to /developer/ namelist).,Unidentified (This will be moved to /developer/ namelist).,None,None,None,simulation,"turborvb.x, readforward.x, prep.x",,read_datasmin_22,read_datas.f90:91 -- 95,
max_targetsr,``integer``,``max_target``,Unidentified (This will be moved to /developer/ namelist).,Unidentified (This will be moved to /developer/ namelist).,None,None,None,simulation,"turborvb.x, readforward.x, prep.x",,read_datasmin_23,"read_datas.f90:96, 2222 -- 2227",
dielectric_ratio,``real*8``,``1.d0``,Parameter for dielectric constant: see dielectric.f90 (not tested).,Parameter for dielectric constant: see dielectric.f90 (not tested).,None,None,None,simulation,"turborvb.x, readforward.x, prep.x",,read_datasmin_24,read_datas.f90:97,
dielectric_length,``real*8``,``1.d0``,Parameter for dielectric constant: see dielectric.f90 (not tested).,Parameter for dielectric constant: see dielectric.f90 (not tested).,None,None,None,simulation,"turborvb.x, readforward.x, prep.x",,read_datasmin_25,read_datas.f90:98,
case_diel,``integer``,"- if no input

  + ``2`` if dielectric_ratio /= 1.d0

- ignore input

  + ``0`` if dielectric_ratio == 1.d0
  + ``0`` if input case_diel < 0 or case_diel > 2
",Flag for dielectric constant: see dielectric.f90 (not tested).,Flag for dielectric constant: see dielectric.f90 (not tested).,None,None,None,simulation,"turborvb.x, readforward.x, prep.x",,read_datasmin_26,"read_datas.f90:99, 2244, dielectric.f90:22 -- 36",
neigh,"``integer``
","- if no input

  + ``1`` if iespbc is .true.",Neighbors in the Ewald summation (but not used?) unidentified.,Neighbors in the Ewald summation (but not used?) unidentified.,None,None,None,simulation,"turborvb.x, readforward.x, prep.x",,read_datasmin_27,"read_datas.f90:63, 995, 1522, 1552 -- 1555",
novec_loop1,``logical``,``.true.``,Vectorize of subroutine upnewwf (This will be moved to /developer/ namelist).,Vectorize of subroutine upnewwf (This will be moved to /developer/ namelist).,None,None,None,simulation,"turborvb.x, readforward.x, prep.x",,read_datasmin_28,read_datas.f90:100,
yes_sparse,``logical``,``.false.``,Unidentified (This will be moved to /developer/ namelist).,Unidentified (This will be moved to /developer/ namelist).,None,None,None,simulation,"turborvb.x, readforward.x, prep.x",,read_datasmin_29,read_datas.f90:101,
yes_sparse_choose,``logical``,"- ``.false.`` if yesdft is .true.
- ``.true.`` if yesdft is .false.",Unidentified (This will be moved to /developer/ namelist).,Unidentified (This will be moved to /developer/ namelist).,None,None,None,simulation,"turborvb.x, readforward.x, prep.x",,read_datasmin_30,read_datas.f90:102 -- 106,
max_sparse_choice,``integer``,automatic (100 or 20),Unidentified (This will be moved to /developer/ namelist).,Unidentified (This will be moved to /developer/ namelist).,None,None,None,simulation,"turborvb.x, readforward.x, prep.x",,read_datasmin_31,read_datas.f90:107 -- 111,
nintpsa,``integer``,automatic,"Number of integer points for pseudopotential, if present.","Number of integer points for pseudopotential, if present.",None,"prep.input:

.. code-block:: text

    !nintpsa=6 ! number of integration point for pseudo if present

datasdmc.input:

.. code-block:: text

    !nintpsa=6 ! number of points for pseudo integration ! default 6, allowed 12 18

datastest.input:

.. code-block:: text

    ! nintpsa=6 ! number of points for pseudo integration ! default allowed 12 18

datasfn.input:

.. code-block:: text

    !nintpsa=6 ! 6 points integration pseudo default
",None,pseudo,"turborvb.x, readforward.x, prep.x",,read_datasmin_32,"read_datas.f90:196, 995, 1048 -- 1064",
npsamax,``integer``,"- if no input

  + ``2`` if npsa /= 0
  + ``1`` if npsa == 0
","- description(DFT):   Multiplication factor for the number of pseudo integration points. Note that, use npsmax > 2 if the code terminates with the error ‘Increase npsamax’.
- description(QMC): Multiplication factor for the number of pseudo integration points. Note that, you should use npsmax > 2 if the code terminates with the error ‘Increase npsamax’.","- description(DFT):   Multiplication factor for the number of pseudo integration points. Note that, use npsmax > 2 if the code terminates with the error ‘Increase npsamax’.
- description(QMC): Multiplication factor for the number of pseudo integration points. Note that, you should use npsmax > 2 if the code terminates with the error ‘Increase npsamax’.",None,"prep.input:

.. code-block:: text

    !npsamax=2 ! Multiplication factor for the number of pseudo integration points.
               ! NB: Use npsamax>2 if the code terminates with the error ""Increase npsamax [...]"".

datasdmc.input:

.. code-block:: text

    !npsamax=1 ! max number of overlapping pseudo atom cores defined in pseudo.dat (r< rcut) default 1(2) for atom(s)

datastest.input:

.. code-block:: text

    !npsamax=1 ! max number of overlapping pseudo atom cores defined in pseudo.dat (r< rcut) default 1(2) for atom(s)

datasfn.input:

.. code-block:: text

    !npsamax=1 ! max number of overlapping pseudo atoms cores defined
                in pseudo.dat (r< rcut) default 1(2) for atom(s)
",None,pseudo,"turborvb.x, readforward.x, prep.x",,read_datasmin_33,"read_datas.f90:197, 995, 1065 -- 1069, 1757",
pseudorandom,``logical``,"- ``.false.`` yesdft is .true. and double_mesh is .true.
- ``.true.`` otherwise",Use a random integration mesh for pseudo with the algorithm for QMC by R. Fahy.,Use a random integration mesh for pseudo with the algorithm for QMC by R. Fahy.,None,"prep.input:

.. code-block:: text

    !pseudorandom=.true. ! Use a random integration mesh for pseudo with the algorithm for QMC by R. Fahy.
",None,pseudo,"turborvb.x, readforward.x, prep.x",,read_datasmin_34,read_datas.f90:199 -- 203,
tstep,``real*8``,"- if no input

  + ``2.d0`` if itest == 2
  + ``0.d0`` if itest /= 2",Time step for VMC moves. Adapted automatically.,Time step for VMC moves. Adapted automatically.,None,"datastest.input:

.. code-block:: text

    tstep=2. ! vmc step amplitude, check acceptance rate~0.5 at  end output

datasmin.input:

.. code-block:: text

    tstep=2.4 ! vmc step amplitude (a.u.)
",None,vmc,"turborvb.x, readforward.x, prep.x",,read_datasmin_35,read_datas.f90:982 -- 991,
hopfraction,``real*8``,``0.d0``,The hopping ratio used in the MCMC. See. subroutine hopping in detail.,The hopping ratio used in the MCMC. See. subroutine hopping in detail.,None,None,None,vmc,"turborvb.x, readforward.x, prep.x",,read_datasmin_36,read_datas.f90:217 -- 218,
epscut,``real*8``,"- if no input

  + ``0.00001d0`` if itest /= 1 and itestr4 /= -7

- ignore input

  + if itest == 1 or itestr4 == -7

    - ``0.d0`` if epscuttype == 0
    - ``epscuttype`` if epscuttype < 0
    - error if epscuttype > 0
","The threshold of regularization. epscut = 0 to be used only in the optimization of the Jastrow, when no regularization is necessary for finite variance energy derivatives. If epscut > 0, a regularization is applied (epscuttype=2) and finite variance forces and energy derivatives can be computed. It is tuned automatically starting from the value in input.","The threshold of regularization. epscut = 0 to be used only in the optimization of the Jastrow, when no regularization is necessary for finite variance energy derivatives. If epscut > 0, a regularization is applied (epscuttype=2) and finite variance forces and energy derivatives can be computed. It is tuned automatically starting from the value in input.",epscut Regularization parameter. Small positive value (DOUBLE).,"datastest.input:

.. code-block:: text

    epscut=0.d0 ! default =0. suggested non zero only for very large nweight.

datasmin.input:

.. code-block:: text

epscut=0.0  ! Default -100, for calculation with finite variance derivatives.                 see vmc input (datasvmc.input).
",None,vmc,"turborvb.x, readforward.x, prep.x",,read_datasmin_37,"read_datas.f90:219 -- 220, 277, 287, 969 -- 980",
epstlrat,``real*8``,"- if no input

  + ``dsqrt(epsmach)`` if theta_reg == 0.5d0 and epstlrat is .true.",epstl = epstlrat*epscut. epstl is a precision control parameter used in subroutine ratio_psi() (if zero not used) dlamch(‘e’) is a lapack routine that returns the relative machine precision,epstl = epstlrat*epscut. epstl is a precision control parameter used in subroutine ratio_psi() (if zero not used) dlamch(‘e’) is a lapack routine that returns the relative machine precision,None,None,None,vmc,"turborvb.x, readforward.x, prep.x",,read_datasmin_38,"read_datas.f90:221 -- 222, 247 -- 250",
epscuttype,``integer``,"- if no input

  + ``0`` if epscut == 0.d0
  + ``2`` if epscut > 0.d0
  + ``-1000`` if epscut < 0.d0

- ignore input

  + ``0`` if itest == 1 or itestr4 == -7","Accept default (0,2) determined by epscut. The type of regularization applied to the determinant. Type 0: no regularization. Type 2: best one. (Other options are possible but deprecated).","Accept default (0,2) determined by epscut. The type of regularization applied to the determinant. Type 0: no regularization. Type 2: best one. (Other options are possible but deprecated).",None,None,None,vmc,"turborvb.x, readforward.x, prep.x",,read_datasmin_39,"read_datas.f90:224, 277, 286, 952 -- 961",
alat2v,``real*8``,``0.d0``,not used. This will be removed in the future,not used. This will be removed in the future,None,None,None,vmc,"turborvb.x, readforward.x, prep.x",,read_datasmin_40,read_datas.f90:229,
shift,``real*8``,``0.d0``,unidentified,unidentified,None,None,None,vmc,"turborvb.x, readforward.x, prep.x",,read_datasmin_41,read_datas.f90:228,
change_epscut,``logical``,"- ``.false.`` ignore input if itest /= 2
- ``.true.`` if no input
",automatic adjustment of epscut,automatic adjustment of epscut,None,None,None,vmc,"turborvb.x, readforward.x, prep.x",,read_datasmin_42,"read_datas.f90:225, 1898 -- 1901",
change_tstep,``logical``,"- ``.false.`` ignore input if itest /= 2
- ``.true.`` if no input",automatic adjustment of tstep,automatic adjustment of tstep,None,None,None,vmc,"turborvb.x, readforward.x, prep.x",,read_datasmin_43,"read_datas.f90:226, 1898 -- 1901",
epsvar,``real*8``,``0.0001d0``,epsvar is a precision control parameter used in subroutine ratiovar.f90 (if zero not used),epsvar is a precision control parameter used in subroutine ratiovar.f90 (if zero not used),None,None,None,vmc,"turborvb.x, readforward.x, prep.x",,read_datasmin_44,read_datas.f90:230,
theta_reg,``real*8``,``0.375d0``,"ratiodet = 1.d0/ratiodet**theta_reg used in subroutine ratiovar.f90. Eq.(121) in the paper [J. Chem. Phys. 152, 204121 (2020)].","ratiodet = 1.d0/ratiodet**theta_reg used in subroutine ratiovar.f90. Eq.(121) in the paper [J. Chem. Phys. 152, 204121 (2020)].",None,None,None,vmc,"turborvb.x, readforward.x, prep.x",,read_datasmin_45,read_datas.f90:223,
true_wagner,``integer``,"- if no input

  + ``2`` if lrdmc_der is .true. and lrdmc_nonodes is .false.
  + ``-1`` otherwise",WIP,None,None,None,None,vmc,"turborvb.x, readforward.x, prep.x",,read_datasmin_46,"read_datas.f90:231, 2468 -- 2471",
cutweight,``real*8``,"automatic (0.d0, 4*zmax, or others)",WIP,None,None,None,None,vmc,"turborvb.x, readforward.x, prep.x",,read_datasmin_47,"read_datas.f90:232, 2472 -- 2494",
nbra_cyrus,``integer``,- ``0`` if itest == 1 or itestr4 == -7,WIP,None,None,None,None,vmc,"turborvb.x, readforward.x, prep.x",,read_datasmin_48,"read_datas.f90:232, 2472 -- 2494",
typereg,``integer``,``0``,WIP,None,None,None,"datasfn.README:

.. code-block:: text

        epscutdmc (real*8) input if non zero then typereg (default=0) is also used and:

        The LRDMC hamiltonian H^a is defined as before but a guiding function wfb is
        used to sample  the region where  the fermion wave function vanishes:
        The trial function wf=Dx J that defines the LRDMC Hamiltonian is the product
        of a Determinant D times a Jastrow factor J, that never vanishes,
        whereas the guiding function wfg is defined as follows:

        typereg=0,2,4,...

         wfg= D xJ                          if log(:math:`|D|`) > epscutdmc
         wfg= exp(epscutdmc) Sign(D) xJ           otherwise

        typereg=1,3,5,...

         wfg= D xJ                          if log(:math:`|D|` J) > epscutdmc
         wfg= exp(epscutdmc) Sign(D)           otherwise

        A relevant choice of epscutdmc can be guessed by looking to the
        final output average log Det is reported.
        epscutdmc can be safely chosen < log Det> -2 sigma.

        %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
    ",vmc,"turborvb.x, readforward.x, prep.x",,read_datasmin_49,read_datas.f90:233,
npow,``real*8``,``0.d0``,WIP,None,None,None,None,vmc,"turborvb.x, readforward.x, prep.x",,read_datasmin_50,read_datas.f90:234,
etry,``real*8``,``0.d0``,Trial total energy. Please put the DFT or VMC energy.,Trial total energy. Please put the DFT or VMC energy.,Put a DFT of VMC energy. \Gamma in eq.6 of the review paper is set 2 \times etry,"datasdmc.input:

.. code-block:: text

    etry=-15.74d0   ! trial energy

datasfn.input:

.. code-block:: text

    etry=-5.42d0  ! Guess of the energy (H)
",None,dmclrdmc,"turborvb.x, readforward.x, prep.x",,read_datasmin_51,read_datas.f90:252 -- 254,
npow,``real*8``,``0.d0``,The parameter npow gradually sets the degree of localization used in the effective Hamiltonian. npow = 0 corresponds to a Fixed Node Hamiltonian whereas npow = 1 corresponds to the local approximation. Accept default.,The parameter npow gradually sets the degree of localization used in the effective Hamiltonian. npow = 0 corresponds to a Fixed Node Hamiltonian whereas npow = 1 corresponds to the local approximation. Accept default.,None,None,None,dmclrdmc,"turborvb.x, readforward.x, prep.x",,read_datasmin_52,read_datas.f90:234,
tbra,``real*8``,required,DMC time between consecutive branchings. Do not define when nbra > 0 in the simulation section.,DMC time between consecutive branchings. Do not define when nbra > 0 in the simulation section.,"projection time (i.e, \exp(-\tau \cdot \hat{\mathcal{H}})). Set 0.1 in general. However, for a heavy element, it is better to choose a smaller value. Please check Average number of survived walkers in out_fn
Av. num. of survived walkers/ # walkers in the branching
0.9939
if the number is too small, try smaller tbra.","datasdmc.input:

.. code-block:: text

    tbra=0.1d0 ! time step in DMC

datasfn.input:

.. code-block:: text

    tbra=0.1d0 ! DMC time (H^{-1}) between consecutive branching
","datasfn.README:

.. code-block:: text

    ``tbra`` (real*8) Time interval between two consecutive branchings.
",dmclrdmc,"turborvb.x, readforward.x, prep.x",,read_datasmin_53,"read_datas.f90:255 -- 257, 995, 1071 -- 1202",
gamma,``real*8``,``0.d0``,The γ parameter in LRDMC. Accept default.,The γ parameter in LRDMC. Accept default.,None,"datasfn.input:

.. code-block:: text

    !gamma=0.d0 ! gamma in LRDMC, if positive use readf.x later to see the energy
                  if negative use readqe.x later to sample the sign
","datasfn.README:

.. code-block:: text

    LRDMC allows to make several tasks from correlated sampling of E(gamma)
    and E(-gamma), SR technique up to release nodes.
    Here H^gamma= H+ (1+gamma) O
    where O is a suitable operator that allows to avoid the sign problem
    only for gamma>=0.  gamma=-1 means the exact sampling of the Hamiltonian.

    In principle variational upper bound of the energy even in presence of
    ``srpar`` > 0 (with the nodes of the lanczos step) are possible with
    ``optbra`` = 3 ``gamma`` = 0 ``espcutdmc`` > 0 and the growth estimator
    for the energy (readffn.x).

    ``optbra`` (integer)


    selects the various types of branching according to a positive
    definite weight. Correlated sampling or release node can be obtained
    =============
    if: iread=6  is defined in the &readio  section.
    =============

    for srpar .eq.0 wconf represents the weights of H    with signs
    ===       wconfn  ==                     H^{gamma} with no signs
    otherwise wconf refers to H^{-1}=H the true Hamiltonian for gamma<0.
    for gamma>0 srpar ne 0 the same apply so the exact release is done
    in this case only for gamma=1.

readqsign.README:

.. code-block:: text


    gamma < 0 (for gamma>=0 is equivalent to readf.x)
        gamma=-1 exact but discouraged (you cannot do fermions starting from bosons)

readqe.README:

.. code-block:: text

    optbra =even  ( branching on the reference weigths Wn with gamma=|gamma|>0)
    optbra =odd   ( branching on the absolute values of weigths W with signs)
    gamma < 0 (for gamma>=0 is equivalent to readf.x)
    For gamma>0 the weights W refer to the exact Hamiltonian H
    For gamma<0 ===                               H^gamma (= H for gamma=-1).

    gamma=-1 exact but discouraged (you cannot do fermions starting from bosons)

    Input
    nbias  =  # correcting factors used for the initial state to propagate
    maxf   =  max # of release node steps (<sign> drops exponentially)
    lbin   =  bin length for the blocking used for estimating error bars
    ibinit =  Initial bin used for statistical averages
    iskip  =  distance between two consecutive measures (iskip=1--> all)

    For optbra=0,2,4,...  (even)

    No difference between optbra=0,2,4 but for

    optbra=4,gamma<0 reference Weight is modified =  W if W>0
                                            :math:`-|gamma|` W if W<0

    where hereafter W refers to the exact weights of H (obtained for gamma=-1).


    Output --> fort.21.for  ! E(-gamma) vs correcting factors

    Output --> fort.22.for  ! E(gamma) vs correcting factors with <sign>
               fort.21 fort.22  ! bin averages of energy and weights +/-gamma
               respectively  at the maximum # release nodes iter=maxf (input)

    For optbra=1,3,5,...   (odd)

    No difference between 1,5,...,
    Only optbra=3 is special.

    optbra=3 the reference weights W are the exact ones for gamma>0,
    or refer to H^{gamma} for gamma<0:
    If  W<0 the walker is killed so as to implement the fixed node constraint
    also for srpar>0. Only the Growth estimator  of the energy is rigorously
    variational (see readffn.x).


    Output --> fort.21.for  ! E(-gamma) vs correcting factors

    Output --> fort.22.for  ! E(gamma) vs correcting factors with <sign>
               fort.21 fort.22  ! bin averages of energy and weights -/+gamma
               respectively  at the maximum # release nodes iter=maxf (input)


    Then  you can run enerfn.x WITH THE SAME :math:`|gamma|` for optbra=0 and
                                            :math:`-|gamma|` for optbra=1.

    See example in ~/trunk/test/lrdmc_neggamma/scripttest
",dmclrdmc,"turborvb.x, readforward.x, prep.x",,read_datasmin_54,read_datas.f90:258,
plat,``real*8 plat(3)``,automatic,"a function p(r) dividing the dense and coarse regions. Default value is 0.0 for the single-grid LRDMC (i.e., alat2=0.0), automatically adjusted for the double-grid LRDMC (i.e., alat2=finite value)","a function p(r) dividing the dense and coarse regions. Default value is 0.0 for the single-grid LRDMC (i.e., alat2=0.0), automatically adjusted for the double-grid LRDMC (i.e., alat2=finite value)",None,"datasfn.input:

.. code-block:: text

    ! plat(1)= r_c ! Define it if you want to change the region r<rc where small
                     lattice space is used, larger- more accurate- slower and viceversa
",None,dmclrdmc,"turborvb.x, readforward.x, prep.x",,read_datasmin_55,"read_datas.f90:259, 277 -- 278, 995, 1071 -- 1202",
alat2,``real*8``,"if `alat` > 0, `alat2` is set automatically (double-grid scheme), else (i.e., `alat` < 0), the default value of `alat2` is 0.","Double-grid Lattice space. alat2 = a’/a, where a is the smallest regularization grid and a’ is the larger one used in the valence region (i.e., far from nuclei). When you put a negative value for alat, you should not specify alat2 (i.e., please comment it out). The default value of alat2 is determined by Nakano’s algorithm.","Double-grid Lattice space. alat2 = a’/a, where a is the smallest regularization grid and a’ is the larger one used in the valence region (i.e., far from nuclei). When you put a negative value for alat, you should not specify alat2 (i.e., please comment it out). The default value of alat2 is determined by Nakano’s algorithm.","The corser lattice space used in the double-grid calculation. If you put 0.0d0, TurboRVB does a single grid calculation. If you want to do a double-grid calculation for a compound include Z > 2 element, please comment out alat2 because alat2 is automatically set (See Nakano’s paper).","datasfn.input:

.. code-block:: text

    !alat2=2.      ! Doblle mesh alat2=a'/a. alat2=0 do not use double mesh (slower but standard).
","datasfn.README:

.. code-block:: text

    ``alat2``  (real*8) =  Double grid lattice space. ``alat2`` :math:`= \frac{a'}{a}`  [default :math:`\frac{a'}{a}= \sqrt(zmax^2+1)`]

        for ``alat`` > 0, ``alat2`` has to be irrational

        for ``alat`` < 0, ``alat2`` can be any positive number

        for ``alat2`` = 0, single mesh is assumed.

    CHOICE OF THE LATTICE REGULARIZATION.
    ==========================================================

    The lrdmc is based on the replacement
    H= -\nabla + V --> H^a = -\nabla^a + V^a
    Where \nabla^a is a lattice regularization of the laplacian \nabla
    defined with two lattice space a,a' with  a< a' (a'/a=alat2).
",dmclrdmc,"turborvb.x, readforward.x, prep.x",,read_datasmin_56,"read_datas.f90:260, 277 -- 279, 1071 -- 1154, 1202",
alat,``real*8``,"- if no input

  + ``0`` if itestr /= -6 and itestr4 /= -7 and itestr4 >= -20
  + ``-1.d0/zmax`` otherwise
","Z_max is the largest effective nuclear charge in the system. Lattice space a of the smallest regularization grid. Accept default. If you want to do a single-grid LRDMC calculation, please put a negative value to satisfy the detailed-balance. If you want to do a double-grid LRDMC, please put a positive value and switch on iesrandoma.","Z_max is the largest effective nuclear charge in the system. Lattice space a of the smallest regularization grid. Accept default. If you want to do a single-grid LRDMC calculation, please put a negative value to satisfy the detailed-balance. If you want to do a double-grid LRDMC, please put a positive value and switch on iesrandoma.","The lattice space for discretizing the Hamitonian. If you do a single grid calculation (i.e., alat2=0.0d0), please put a negative value. If you do a double-grid calculation (See. Nakano’s paper), put a positive value and set iesrandoma=.true.. This trick is needed for satisfying the detailed-valance condition.","datasfn.input:

.. code-block:: text

    alat=0.125d0   ! lattice space a  (negative alat  means randomize directions) necessary for continuous
","datasfn.README:

.. code-block:: text

    ``alat`` (real*8) Lattice space mesh ''a'' exact result for a-->0.
    For, ``alat`` < 0  random mesh is assumed with a=|alat|
",dmclrdmc,"turborvb.x, readforward.x, prep.x",,read_datasmin_57,"read_datas.f90:261, 919 -- 939",
tstepfn,``real*8``,``0.d0``,"0.0 -> Fixed-node, 1.0 -> LRDMC becomes a VMC calc.","0.0 -> Fixed-node, 1.0 -> LRDMC becomes a VMC calc.",None,None,None,dmclrdmc,"turborvb.x, readforward.x, prep.x",,read_datasmin_58,read_datas.f90:262,
Klrdmc,``real*8``,``0.d0``,η parameter of LRDMC. η = 1 + Ka^2,η parameter of LRDMC. η = 1 + Ka^2,None,"datasfn.input:

.. code-block:: text

    !Klrdmc=0.d0   ! eta =1.+Klrdmc  a^2
","datasfn.README:

.. code-block:: text

    ``klrdmc`` (real*8) :math:`\eta = 1 + klrdmc*alat^2`, controls scaling of kinetic energy in the
    lattice regularization (default a quadratic expression
    depending on ``zmax``, see ``allio.f90``, where ``zmax`` is the maximum number of valence electrons in each atom)
",dmclrdmc,"turborvb.x, readforward.x, prep.x",,read_datasmin_59,read_datas.f90:263,
optbra,``integer``,``0``,unclear,unclear,None,"datasfn.input:

.. code-block:: text

    !optbra=0     ! Various types of branching

","datasfn.README:

.. code-block:: text

    ``optbra`` (integer)


    selects the various types of branching according to a positive
    definite weight. Correlated sampling or release node can be obtained
    =============
    if: iread=6  is defined in the &readio  section.
    =============

    for srpar .eq.0 wconf represents the weights of H    with signs
    ===       wconfn  ==                     H^{gamma} with no signs
    otherwise wconf refers to H^{-1}=H the true Hamiltonian for gamma<0.
    for gamma>0 srpar ne 0 the same apply so the exact release is done
    in this case only for gamma=1.
    optbra=0, and even  normal branching on wconfn
    optbra=1  branching on :math:`|wconf|` wconf are the weights of H untouched
    optbra=3  ================     wconf>0  only, wconf < disregarded.

    When epscutdmc  ne 0 two choices of branching are possible
    optbra=4   branching with respect to the positive weights of the trial
    This shoulr be better for correlated sampling over the initial  time of release nodes.
    optbra.ne.4 and even   with respect to the Guiding with epscutdmc
    This should be better for several steps of release nodes.

readqe.README:

.. code-block:: text

    optbra =even  ( branching on the reference weigths Wn with gamma=|gamma|>0)
    optbra =odd   ( branching on the absolute values of weigths W with signs)
    gamma < 0 (for gamma>=0 is equivalent to readf.x)
    For gamma>0 the weights W refer to the exact Hamiltonian H
    For gamma<0 ===                               H^gamma (= H for gamma=-1).

    gamma=-1 exact but discouraged (you cannot do fermions starting from bosons)

    Input
    nbias  =  # correcting factors used for the initial state to propagate
    maxf   =  max # of release node steps (<sign> drops exponentially)
    lbin   =  bin length for the blocking used for estimating error bars
    ibinit =  Initial bin used for statistical averages
    iskip  =  distance between two consecutive measures (iskip=1--> all)

    For optbra=0,2,4,...  (even)

    No difference between optbra=0,2,4 but for

    optbra=4,gamma<0 reference Weight is modified =  W if W>0
                                            :math:`-|gamma|` W if W<0

    where hereafter W refers to the exact weights of H (obtained for gamma=-1).


    Output --> fort.21.for  ! E(-gamma) vs correcting factors

    Output --> fort.22.for  ! E(gamma) vs correcting factors with <sign>
               fort.21 fort.22  ! bin averages of energy and weights +/-gamma
               respectively  at the maximum # release nodes iter=maxf (input)

    For optbra=1,3,5,...   (odd)

    No difference between 1,5,...,
    Only optbra=3 is special.

    optbra=3 the reference weights W are the exact ones for gamma>0,
    or refer to H^{gamma} for gamma<0:
    If  W<0 the walker is killed so as to implement the fixed node constraint
    also for srpar>0. Only the Growth estimator  of the energy is rigorously
    variational (see readffn.x).


    Output --> fort.21.for  ! E(-gamma) vs correcting factors

    Output --> fort.22.for  ! E(gamma) vs correcting factors with <sign>
               fort.21 fort.22  ! bin averages of energy and weights -/+gamma
               respectively  at the maximum # release nodes iter=maxf (input)


    Then  you can run enerfn.x WITH THE SAME :math:`|gamma|` for optbra=0 and
                                            :math:`-|gamma|` for optbra=1.
",dmclrdmc,"turborvb.x, readforward.x, prep.x",,read_datasmin_60,read_datas.f90:264,
